Financial year,Total passenger journeys (franchised)
1950,"1,010.0"
1951,"1,030.0"
1952,"1,017.0"
1953,"1,015.0"
1954,"1,020.0"
1955,994.0
1956,"1,029.0"
1957,"1,101.0"
1958,"1,090.0"
1959,"1,069.0"
1960,"1,037.0"
1961,"1,025.0"
1962,965.0
1963,938.0
1964,928.0
1965,865.0
1966,835.0
1967,837.0
1968,831.0
1969,806.0
1970,824.0
1971,816.0
1972,754.0
1973,728.0
1974,733.0
1975,730.0
1976,702.0
1977,702.0
1978,724.0
1979,748.0
1980,760.0
1981,719.0
1982,630.0
1983,694.0
1984,702.0
1985-86,686.0
1986-87,738.0
1987-88,798.0
1988-89,822.0
1989-90,812.0
1990-91,810.0
1991-92,792.0
1992-93,770.0
1993-94,740.0
1994-95,735.1
1995-96,761.2
1996-97,800.2
1997-98,845.7
1998-99,891.9
1999-00,931.0
2000-01,956.6
2001-02,959.6
2002-03,975.5
2003-04,"1,011.7"
2004-05,"1,039.5"
2005-06,"1,076.5"
2006-07,"1,145.0"
2007-08,"1,218.1"
2008-09,"1,266.5"
2009-10,"1,257.9"
2010-11,"1,353.8"
2011-12,"1,460.0"
2012-13,"1,500.9"
2013-14,"1,586.5"
2014-15,"1,653.7"
2015-16,"1,715.9"
2016-17,"1,729.1"
2017-18,"1,705.5"
2018-19,"1,755.6"
2019-20,"1,742.4"
